#      Train        Test
     4.06924      5.81876 
     4.03314      5.62431 
     3.91972      5.52784 
     3.94651      5.66855 
      3.9222      5.65297 
     3.94976      5.38896 
     3.98432      5.43432 
     3.88207      5.61708 
     3.89334      5.59199 
     3.93349      5.62423 
     4.08795      5.69464 
     3.94119      5.82359 
     3.97715      5.46063 
     3.86242      5.40468 
     3.93549      5.58531 
     3.90156      5.48207 
     3.90793      5.40651 
     3.88178      5.86756 
     3.98536      5.56332 
     3.88059      5.56821 
     3.94116      5.76135 
     3.90273      5.63619 
     3.91865      5.59078 
     3.95974      5.77359 
     3.92154      5.78858 
     3.88306      5.42349 
     3.80616      5.39631 
     3.86184      5.69322 
     3.87518      5.80191 
      3.9395      5.50515 
      3.8552      5.34393 
     3.86872      5.39779 
     3.83708      5.50503 
     3.79275      5.55891 
     3.91855       5.3639 
     3.80594      6.02996 
     3.85809      5.52819 
     3.83429      5.54603 
     3.90251      5.98232 
     3.87773      5.70968 
     3.89476      5.86533 
     3.86118      5.76765 
     3.85911      5.67596 
     3.85345      5.65722 
     3.83361      5.61095 
     3.85434       5.5549 
      3.8039      5.87213 
     3.91682      5.87071 
     3.74295      5.58477 
     3.83629      5.62303 
      3.7623        5.586 
     3.82123      5.59738 
     3.80366       5.4942 
     3.75629      5.39112 
     3.74605      5.60573 
     3.78744      5.73014 
      3.8082      5.64723 
     3.79605      5.39486 
     3.84936      5.73476 
     3.75207       5.5995 
     3.79501      5.90509 
     3.72954      5.89108 
     3.66367       5.6335 
      3.8087      5.47318 
     3.75078      5.81009 
     3.71276      5.61927 
      3.8108      5.73594 
     3.70241      5.57801 
     3.75793      5.36557 
     3.74703        5.884 
     3.67022      5.38957 
     3.60438      5.52925 
     3.64425      5.40812 
     3.73593      5.47518 
     3.73526      5.52769 
     3.66966      5.65489 
     3.74967      5.57011 
     3.74302      5.49776 
     3.73459      5.50733 
     3.69662       5.3776 
     3.69566      5.31954 
     3.57681      5.26285 
     3.70396      5.33194 
     3.79463       5.3359 
     3.67167      5.27143 
     3.69569      5.30743 
     3.71245      5.55051 
     3.74088       5.3728 
      3.7448      5.17274 
     3.68242      5.24074 
      3.6756      5.49097 
     3.69532      5.06585 
     3.69166      5.20686 
     3.64479      5.48421 
     3.71005      5.50794 
     3.64831      5.40354 
     3.62253       5.1628 
     3.74351      5.34204 
     3.69736      5.47431 
     3.65732      5.36554 
     3.62789      5.25646 
     3.69324      5.38069 
     3.70709      5.38467 
     3.67115      5.04635 
     3.65431      5.58061 
     3.56131      5.48261 
     3.65172      5.27172 
     3.78097      5.41776 
     3.64213      5.14189 
     3.62267      5.17765 
     3.68241      5.80466 
     3.60409      5.41906 
     3.60633      5.40056 
     3.71506      5.51133 
      3.5812      5.59395 
     3.67231      5.66159 
     3.63118      5.37395 
     3.67326      5.21648 
     3.69427      5.20863 
     3.65762      5.32066 
     3.62372      5.25959 
     3.68744      5.43121 
     3.58167      5.38953 
     3.62454      5.38347 
     3.65801      5.51571 
      3.5544      5.46794 
     3.53728      5.53316 
     3.55703      5.67427 
     3.58252      5.37328 
     3.59741      5.43886 
      3.5825      5.38838 
     3.65491      5.46773 
     3.61136      5.48225 
     3.58107      5.39744 
     3.59007      5.33107 
     3.54768      5.33306 
      3.5425      5.25674 
     3.59733      5.56752 
