#      Train        Test
     0.95636     0.848485 
    0.948004     0.837121 
    0.926648     0.837121 
    0.935933     0.806818 
    0.947075     0.833333 
    0.941504     0.806818 
    0.955432      0.80303 
    0.938719     0.814394 
    0.942433      0.82197 
    0.941504     0.837121 
    0.946147     0.844697 
    0.929434     0.833333 
     0.93779      0.80303 
    0.942433     0.829545 
    0.933148     0.787879 
    0.941504     0.799242 
    0.943361     0.795455 
    0.928505     0.814394 
    0.943361     0.814394 
     0.94429     0.818182 
    0.940576     0.814394 
    0.946147      0.82197 
    0.951718     0.814394 
    0.948004     0.825758 
     0.94429     0.825758 
    0.950789     0.814394 
    0.954503     0.784091 
    0.947075     0.833333 
    0.939647     0.799242 
    0.939647     0.818182 
    0.938719     0.814394 
    0.935005     0.825758 
    0.948004     0.829545 
    0.950789     0.814394 
    0.949861     0.829545 
    0.934076     0.814394 
    0.947075     0.806818 
    0.935005     0.825758 
    0.947075     0.799242 
    0.942433     0.806818 
    0.938719     0.818182 
    0.942433     0.829545 
    0.947075     0.810606 
     0.93779     0.806818 
    0.941504     0.814394 
    0.948932      0.80303 
    0.941504     0.844697 
    0.941504      0.82197 
    0.947075     0.799242 
    0.952646     0.799242 
    0.930362     0.810606 
     0.93779     0.784091 
    0.946147     0.791667 
    0.953575     0.837121 
    0.950789     0.784091 
    0.949861     0.791667 
    0.955432     0.818182 
     0.94429     0.784091 
    0.948932     0.776515 
    0.949861     0.829545 
     0.95636      0.82197 
    0.946147     0.818182 
    0.955432     0.784091 
    0.946147     0.810606 
    0.948932     0.806818 
    0.949861     0.791667 
