#      Train        Test
    0.863636     0.767361 
    0.865352     0.746528 
    0.864494     0.760417 
    0.866209         0.75 
    0.864494      0.71875 
    0.858491     0.722222 
    0.868782         0.75 
    0.877358     0.743056 
    0.870497     0.739583 
    0.858491     0.729167 
    0.867067     0.756944 
    0.860206     0.763889 
    0.868782     0.753472 
    0.870497     0.729167 
    0.868782     0.760417 
    0.855918     0.777778 
    0.876501     0.736111 
     0.87307     0.746528 
    0.867067     0.760417 
     0.87307         0.75 
    0.865352     0.746528 
    0.870497     0.767361 
    0.872213     0.722222 
    0.866209     0.746528 
    0.865352     0.746528 
    0.866209     0.739583 
    0.867925     0.767361 
     0.87307     0.743056 
    0.860206      0.71875 
    0.859348      0.71875 
    0.878216     0.753472 
    0.873928     0.746528 
    0.870497     0.753472 
    0.867925     0.739583 
     0.87307     0.743056 
     0.86964     0.753472 
    0.870497     0.736111 
    0.878216      0.71875 
    0.878216     0.753472 
    0.864494     0.763889 
    0.872213     0.729167 
    0.867067     0.746528 
    0.873928     0.736111 
    0.871355     0.722222 
    0.862779     0.739583 
    0.862779     0.725694 
    0.878216     0.711806 
    0.873928     0.736111 
    0.870497     0.743056 
    0.866209     0.729167 
    0.866209     0.736111 
    0.876501      0.71875 
    0.859348     0.743056 
    0.879931     0.746528 
    0.870497     0.756944 
    0.877358     0.743056 
    0.870497         0.75 
    0.879074     0.736111 
    0.874786     0.756944 
    0.871355     0.746528 
     0.87307     0.722222 
    0.873928     0.739583 
    0.874786     0.743056 
    0.866209     0.725694 
    0.882504     0.770833 
    0.874786      0.71875 
    0.879074     0.722222 
    0.879931     0.711806 
    0.867925     0.736111 
    0.873928     0.743056 
    0.879074     0.715278 
    0.866209     0.739583 
    0.877358     0.743056 
    0.881647         0.75 
    0.881647     0.722222 
     0.88765     0.743056 
    0.886792     0.736111 
     0.88765      0.71875 
    0.880789     0.746528 
    0.885935         0.75 
    0.876501     0.732639 
    0.875643     0.736111 
     0.87307     0.746528 
    0.876501     0.729167 
    0.873928     0.756944 
    0.873928         0.75 
    0.878216     0.746528 
    0.875643     0.729167 
    0.868782     0.767361 
    0.877358     0.770833 
    0.875643     0.739583 
    0.879931     0.739583 
    0.876501     0.746528 
    0.873928     0.770833 
    0.877358     0.763889 
    0.876501     0.756944 
    0.874786     0.774306 
